,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
1584,1676,1385,OWNER,monthly issuance,970508,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,45,False,530203,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
1586,1679,1387,OWNER,monthly issuance,970101,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,56,True,420417,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1587,1680,1388,OWNER,monthly issuance,940502,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,23,True,750328,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
1588,1681,1389,OWNER,monthly issuance,970805,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,58,False,401125,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190
1589,1682,1390,OWNER,monthly issuance,961230,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,42,False,560907,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1590,1683,1391,OWNER,monthly issuance,961221,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,47,True,511224,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
1592,1685,1392,OWNER,monthly issuance,930428,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,54,True,440421,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
1593,1686,1393,OWNER,monthly issuance,961124,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,51,True,471108,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1595,1688,1394,OWNER,monthly issuance,941227,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,75,False,230810,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1596,1689,1395,OWNER,monthly issuance,951121,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,62,False,361204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1597,1690,1396,OWNER,monthly issuance,960626,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,51,True,470817,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
1598,1691,1397,OWNER,monthly issuance,930322,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,20,True,780208,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
1599,1692,1398,OWNER,monthly issuance,940818,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,26,False,720207,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
1600,1693,1399,OWNER,monthly issuance,960520,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,18,True,800706,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
1602,1696,1401,OWNER,monthly issuance,930812,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,75,True,230321,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1603,1697,1402,OWNER,monthly issuance,930326,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,34,True,640110,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
1605,1699,1403,OWNER,monthly issuance,951102,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,43,False,550311,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
1606,1700,1404,OWNER,weekly issuance,930922,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,49,False,490309,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1608,1702,1405,OWNER,monthly issuance,960604,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,25,True,730407,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
1609,1703,1406,OWNER,monthly issuance,940304,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,80,False,180111,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1611,1705,1407,OWNER,issuance after transaction,970411,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,52,True,460701,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
1613,1707,1408,OWNER,monthly issuance,960907,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,47,False,510218,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
1614,1709,1410,OWNER,monthly issuance,930911,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,46,True,521213,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1615,1710,1411,OWNER,monthly issuance,930709,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,54,False,440211,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1616,1711,1412,OWNER,monthly issuance,930518,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,36,True,620614,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
1618,1713,1413,OWNER,monthly issuance,950607,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,63,False,350421,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1619,1714,1414,OWNER,monthly issuance,950117,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,53,False,450522,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
1620,1717,1416,OWNER,weekly issuance,930712,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,19,True,790307,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1621,1718,1417,OWNER,monthly issuance,941220,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,60,False,380727,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
1622,1719,1418,OWNER,monthly issuance,970209,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,28,False,700809,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
1623,1720,1419,OWNER,monthly issuance,931222,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,64,True,340224,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
1625,1722,1420,OWNER,monthly issuance,950608,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,65,False,331001,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
1626,1723,1421,OWNER,monthly issuance,941005,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,17,True,810228,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
1627,1724,1422,OWNER,monthly issuance,930409,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,64,True,341021,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
1628,1725,1423,OWNER,monthly issuance,950908,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,39,True,590118,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
1630,1727,1424,OWNER,monthly issuance,970520,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,47,False,510121,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1632,1729,1425,OWNER,monthly issuance,930706,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,51,False,470516,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
1633,1730,1426,OWNER,monthly issuance,951027,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,66,False,321215,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1634,1731,1427,OWNER,monthly issuance,951008,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,30,True,681130,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
1635,1733,1429,OWNER,monthly issuance,930730,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,24,True,740720,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1636,1734,1430,OWNER,monthly issuance,970213,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,23,False,751110,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
1638,1736,1431,OWNER,monthly issuance,960611,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,19,True,790417,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
1639,1737,1432,OWNER,monthly issuance,970719,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,43,False,550730,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
1641,1741,1434,OWNER,monthly issuance,970808,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,66,False,320702,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1642,1742,1435,OWNER,monthly issuance,961201,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,44,False,540606,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1643,1743,1436,OWNER,monthly issuance,941207,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,39,False,590727,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
1644,1744,1437,OWNER,monthly issuance,950113,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,29,True,691228,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1645,1745,1438,OWNER,weekly issuance,970918,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,39,True,591018,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
1646,1746,1439,OWNER,monthly issuance,960127,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,39,True,590910,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
1648,1748,1440,OWNER,monthly issuance,930922,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,22,False,761231,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
1649,1749,1441,OWNER,monthly issuance,941025,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,70,True,281117,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1650,1750,1442,OWNER,monthly issuance,930523,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,34,False,641231,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
1651,1751,1443,OWNER,monthly issuance,970927,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,39,False,590124,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1652,1752,1444,OWNER,monthly issuance,960616,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,20,False,781123,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1653,1753,1445,OWNER,monthly issuance,960316,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,19,True,790226,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1654,1754,1446,OWNER,monthly issuance,950118,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,19,False,790529,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1655,1755,1447,OWNER,monthly issuance,970220,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,33,True,650818,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1656,1756,1448,OWNER,monthly issuance,951007,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,62,False,360708,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1658,1758,1449,OWNER,monthly issuance,930826,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,51,False,471113,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
1659,1759,1450,OWNER,monthly issuance,960407,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,75,True,230116,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1660,1760,1451,OWNER,monthly issuance,930624,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,75,False,230307,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
1661,1761,1452,OWNER,monthly issuance,950916,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,50,False,480423,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
1662,1762,1453,OWNER,weekly issuance,930925,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,42,False,561230,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
1663,1763,1454,OWNER,monthly issuance,970725,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,31,False,671207,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
1664,1764,1455,OWNER,monthly issuance,960103,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,27,False,710709,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1665,1765,1456,OWNER,monthly issuance,960412,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,23,False,750803,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
1666,1768,1458,OWNER,monthly issuance,940103,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,47,False,510427,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
1667,1769,1459,OWNER,monthly issuance,970326,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,49,False,490805,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
1669,1771,1460,OWNER,monthly issuance,961129,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,71,True,271020,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1670,1772,1461,OWNER,monthly issuance,960407,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,19,True,790921,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1671,1774,1463,OWNER,monthly issuance,960925,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,27,True,711005,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1672,1775,1464,OWNER,monthly issuance,961021,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,55,False,431208,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1673,1776,1465,OWNER,monthly issuance,950608,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,44,True,541024,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1674,1777,1466,OWNER,weekly issuance,970326,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,35,True,630108,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1676,1779,1467,OWNER,monthly issuance,940427,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,63,False,351126,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
1677,1780,1468,OWNER,monthly issuance,931011,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,44,True,541209,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1678,1781,1469,OWNER,monthly issuance,951215,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,74,False,240816,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1679,1782,1470,OWNER,monthly issuance,940210,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,50,False,481224,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
1680,1783,1471,OWNER,monthly issuance,960721,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,52,True,461005,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1681,1784,1472,OWNER,monthly issuance,950720,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,18,True,801102,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
1682,1785,1473,OWNER,monthly issuance,960416,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,23,False,751125,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
1683,1786,1474,OWNER,monthly issuance,960914,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,64,True,340625,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1685,1788,1475,OWNER,weekly issuance,930614,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48,False,500323,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1686,1789,1476,OWNER,monthly issuance,930426,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,65,True,330807,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
1687,1790,1477,OWNER,monthly issuance,930208,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,45,False,530528,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1688,1791,1478,OWNER,monthly issuance,961030,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,32,True,660512,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1689,1792,1479,OWNER,monthly issuance,950404,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,23,False,750901,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1690,1793,1480,OWNER,weekly issuance,960703,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,53,True,450317,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
1691,1794,1481,OWNER,monthly issuance,930117,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,58,True,400330,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1692,1795,1482,OWNER,monthly issuance,961208,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,38,True,600228,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
1693,1796,1483,OWNER,monthly issuance,960109,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,60,False,381123,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
1695,1798,1484,OWNER,monthly issuance,960923,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,65,False,330708,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1696,1799,1485,OWNER,monthly issuance,931003,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,39,False,590626,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1697,1800,1486,OWNER,monthly issuance,960115,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,55,True,430928,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1698,1801,1487,OWNER,monthly issuance,930910,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,28,False,700101,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1700,1803,1488,OWNER,monthly issuance,970429,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,52,True,460512,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
1701,1806,1490,OWNER,monthly issuance,960725,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,46,False,520103,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1702,1807,1491,OWNER,monthly issuance,970611,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,63,False,350630,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1704,1809,1492,OWNER,monthly issuance,961017,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,67,False,310512,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
1705,1810,1493,OWNER,monthly issuance,930109,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,79,False,190630,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
1706,1811,1494,OWNER,monthly issuance,971008,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,59,False,390329,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1707,1812,1495,OWNER,monthly issuance,931101,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,51,True,470517,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1709,1814,1496,OWNER,monthly issuance,950205,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,58,False,400312,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1710,1815,1497,OWNER,monthly issuance,930716,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,True,770224,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
1711,1816,1498,OWNER,weekly issuance,970207,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,47,False,510724,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
1712,1817,1499,OWNER,monthly issuance,931128,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,45,True,531206,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1714,1819,1500,OWNER,monthly issuance,961001,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,19,True,790420,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
1715,1820,1501,OWNER,monthly issuance,960811,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,70,True,281120,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1716,1821,1502,OWNER,monthly issuance,961002,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,57,False,410424,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1717,1822,1503,OWNER,monthly issuance,960410,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,76,True,220913,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
1718,1823,1504,OWNER,monthly issuance,960826,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,True,780807,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1719,1824,1505,OWNER,monthly issuance,930423,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,38,False,600803,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
